,Pesticide
45,"Bifenazate, Abamectin, Spiromesifen"
46,"Bacillus thuringiensis, Cypermethrin, Neem oil"
47,"Emamectin benzoate, Indoxacarb, Spinosad"
48,"Acetamiprid, Bifenazate, Spiromesifen"
49,"Chlorantraniliprole, Emamectin benzoate, Spinosad"
50,"Chlorantraniliprole, Emamectin benzoate, Spinosad"
51,"Acetamiprid, Bifenthrin, Imidacloprid"
52,"Acephate, Imidacloprid, Methomyl"
53,"Neonicotinoids, Fipronil, Imidacloprid"
54,"Methomyl, Chlorpyrifos, Carbaryl"
55,"Spinosad, Abamectin, Imidacloprid"
56,"Bacillus thuringiensis, Cypermethrin, Chlorantraniliprole"
57,"Chlorpyrifos, Carbaryl, Imidacloprid"
58,"Chlorpyrifos, Imidacloprid, Fipronil"
59,"Chlorpyrifos, Imidacloprid, Fipronil"
60,"Malathion, Spinosad, Imidacloprid"
61,"Spinosad, Abamectin, Imidacloprid"
62,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
63,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
64,"Neonicotinoids, Pyrethroids, Imidacloprid"
65,"Imidacloprid, Chlorpyrifos, Abamectin"
66,"Pyrethroids, Organophosphates, Neonicotinoids"
67,"Methoxyfenozide, Chlorpyrifos, Fipronil"
68,"Spiromesifen, Abamectin, Fenazaquin"
69,"Imidacloprid, Lambda-cyhalothrin, Chlorpyrifos"
70,"Azadirachtin, Imidacloprid, Spinosad"
71,"Chlorpyrifos, Cyfluthrin, Carbaryl"
72,"Imidacloprid, Acetamiprid, Thiamethoxam"
73,"Chlorpyrifos, Lambda-cyhalothrin, Bifenthrin"
74,"Emamectin benzoate, Fipronil, Chlorantraniliprole"
75,"Bacillus thuringiensis, Methoxyfenozide, Spinosad"
76,"Carbaryl, Methomyl, Dimethoate"
77,"Chlorpyrifos, Carbaryl, Diazinon"
78,"Imidacloprid, Carbaryl, Malathion, Cypermethrin"
79,"Imidacloprid, Thiamethoxam, Dinotefuran, Acetamiprid"
80,"Chlorantraniliprole, Flubendiamide, Emamectin benzoate"
81,"Carbaryl, Malathion, Pyrethrin, Permethrin"
82,"Chlorantraniliprole, Emamectin benzoate, Spinosad, Indoxacarb"
83,"Imidacloprid, Chlorpyrifos, Buprofezin, Thiamethoxam"
84,"Bacillus thuringiensis, Spinosad, Methomyl, Chlorantraniliprole"
85,"Imidacloprid, Thiacloprid, Thiamethoxam, Dinotefuran"
86,"Chlorpyrifos, Emamectin benzoate, Lambda-cyhalothrin, Spinosad"
87,"Bacillus thuringiensis, Carbaryl, Cypermethrin"
88,"Chlorpyrifos, Diazinon, Methomyl"
89,"Imidacloprid, Lambda-cyhalothrin, Pyrethroids"
90,"Bacillus thuringiensis, Chlorantraniliprole, Spinosad"
91,"Chlorpyrifos, Methomyl, Pyrethroids"
92,"Imidacloprid, Thiamethoxam, Pyrethroids"
93,"Acephate, Imidacloprid, Thiamethoxam"
94,"Carbaryl, Malathion, Pyrethroids"
95,"Carbaryl, Malathion, Pyrethroids"
96,"Chlorpyrifos, Imidacloprid, Thiamethoxam"
97,"Bacillus thuringiensis, Chlorpyrifos, Lambda-cyhalothrin"
98,"Carbaryl, Chlorpyrifos, Lambda-cyhalothrin"
99,"Abamectin, Bifenazate, Chlorfenapyr"
100,"Carbaryl, Diazinon, Malathion"
101,"Bacillus thuringiensis, Chlorpyrifos, Lambda-cyhalothrin"
102,"Abamectin, Bifenazate, Chlorfenapyr"
103,"Bifenthrin, Carbaryl, Imidacloprid"
104,"Abamectin, Emamectin benzoate, Spinosad"
105,"Abamectin, Chlorfenapyr, Pyridaben"
106,"Carbofuran, Chlorpyrifos, Diazinon"
107,"Bacillus thuringiensis, Chlorpyrifos, Imidacloprid"
108,"Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin"
109,"Chlorpyrifos, Fenpropathrin, Lambda-cyhalothrin"
110,"Abamectin, Bifenazate, Spiromesifen"
111,"Cartap hydrochloride, Chlorpyrifos, Fipronil"
112,"Cartap hydrochloride, Chlorantraniliprole, Emamectin benzoate"
113,"Chlorpyrifos, Cypermethrin, Indoxacarb"
114,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
115,"Cartap, Methomyl, Carbaryl"
116,"Carbofuran, Chlorpyrifos, Imidacloprid"
117,"Malathion, Carbaryl, Cypermethrin"
118,"Thiamethoxam, Clothianidin, Imidacloprid"
119,"Imidacloprid, Chlorpyrifos, Acephate"
120,"Neonicotinoids, Pyrethroids, Chlorantraniliprole"
121,"Imidacloprid, Lambda-cyhalothrin, Methomyl"
122,"Imidacloprid, Acetamiprid, Thiamethoxam"
123,"Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin"
124,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
125,"Chlorpyrifos, Acetamiprid, Imidacloprid"
126,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
127,"Chlorantraniliprole, Spinosad, Bacillus thuringiensis"
128,"Imidacloprid, Thiamethoxam, Pyrethroids"
129,"Chlorpyrifos, Imidacloprid, Fipronil"
130,"Chlorpyrifos, Methomyl, Carbaryl"
131,"Chlorpyrifos, Neonicotinoids, Fipronil"
